0.025	743.21	1283.4	2534	3127	3592	3958	4294	4583	4813	5022	5194	5404	5596	5788	6009	6191	6421	6564
0.03	785.75	1401.1	2757	3427	3963	4390	4776	5108	5373	5613	5808	6031	6240	6446	6682	6883	7126	7283
0.04	850.48	1600.1	3121	3941	4610	5159	5641	6060	6399	6702	6949	7205	7447	7681	7945	8180	8445	8624
0.05	894.48	1761.9	3391	4355	5155	5822	6401	6907	7321	7688	7992	8289	8566	8832	9126	9394	9680	9878
0.06	920.07	1894.3	3587	4683	5609	6393	7071	7666	8155	8588	8951	9292	9609	9908	10230	10540	10850	11060
0.07	931.94	2002.5	3725	4936	5981	6880	7659	8345	8912	9413	9836	10220	10580	10920	11280	11610	11950	12190
0.08	933.72	2090.3	3820	5128	6280	7288	8167	8947	9594	10170	10650	11090	11500	11870	12260	12630	13000	13260
0.09	927.97	2160.5	3884	5272	6518	7625	8602	9474	10200	10850	11410	11900	12350	12760	13190	13600	13990	14280
0.1	916.79	2215.6	3924	5378	6705	7902	8969	9931	10740	11470	12100	12650	13150	13600	14070	14520	14940	15250
0.15	823.23	2327.9	3937	5583	7168	8673	10080	11400	12560	13630	14610	15480	16270	16980	17700	18370	18980	19470
0.2	722.36	2282.5	3829	5551	7256	8918	10510	12050	13430	14740	15990	17110	18170	19130	20090	21010	21850	22540
0.25	633.95	2173.2	3690	5442	7206	8952	10660	12320	13850	15310	16740	18050	19290	20440	21600	22720	23760	24640
0.3	562.85	2041.7	3547	5304	7097	8892	10670	12410	14030	15590	17140	18580	19970	21260	22570	23850	25040	26080
0.4	463.41	1786.5	3276	5011	6819	8656	10500	12340	14060	15740	17440	19050	20610	22080	23600	25100	26500	27750
0.5	400.22	1574.4	3035	4728	6523	8367	10240	12130	13900	15640	17420	19120	20780	22370	24020	25650	27190	28590
0.6	356.07	1405.1	2824	4466	6234	8068	9947	11860	13650	15430	17260	19010	20740	22400	24140	25870	27500	28990
0.7	321.94	1273	2639	4228	5961	7776	9649	11570	13370	15170	17030	18810	20590	22290	24090	25890	27590	29150
0.8	294.54	1166.4	2476	4011	5706	7496	9355	11270	13080	14880	16760	18560	20370	22100	23950	25800	27550	29150
0.9	272.02	1078.2	2331	3814	5468	7230	9070	10980	12780	14590	16470	18280	20110	21870	23750	25640	27420	29060
1	253.03	1003.7	2202	3634	5248	6978	8796	10690	12490	14290	16180	17990	19830	21600	23510	25420	27240	28900
1.5	190.37	756.27	1725	2934	4352	5920	7607	9398	11120	12870	14730	16520	18360	20140	22090	24070	25940	27660
2	154.54	614.16	1420	2458	3709	5124	6675	8348	9983	11650	13440	15180	16970	18720	20660	22630	24510	26230
2.5	131.03	520.82	1208	2114	3228	4510	5936	7493	9035	10620	12330	14010	15750	17450	19340	21280	23140	24830
3	114.27	454.22	1054	1857	2857	4024	5338	6788	8241	9745	11380	12990	14670	16320	18160	20060	21870	23530
4	91.728	364.66	843.8	1496	2324	3308	4436	5701	6995	8351	9835	11320	12870	14420	16140	17940	19660	21250
5	77.143	306.7	707.3	1257	1961	2809	3792	4907	6067	7295	8647	10020	11460	12900	14510	16200	17830	19350
6	66.86	265.83	611.4	1088	1700	2443	3312	4305	5353	6472	7709	8974	10310	11660	13170	14760	16300	17740
7	59.18	235.3	540.1	960.8	1503	2164	2941	3835	4789	5814	6952	8125	9371	10630	12050	13540	15000	16370
8	53.209	211.57	485	862.4	1349	1945	2647	3458	4333	5278	6329	7421	8585	9770	11100	12510	13890	15190
9	48.428	192.56	440.9	783.8	1226	1768	2409	3151	3957	4833	5808	6829	7920	9036	10290	11610	12920	14170
10	44.499	176.94	404.8	719.4	1125	1623	2212	2895	3643	4458	5368	6325	7350	8404	9584	10840	12080	13270
15	32.064	127.5	291.1	516.9	807.5	1164	1586	2077	2624	3230	3907	4632	5416	6236	7148	8125	9114	10080
20	25.382	100.94	230.2	408.9	638.4	919.1	1252	1637	2071	2554	3092	3676	4309	4978	5717	6512	7327	8142
25	21.173	84.202	192	341	532.3	766.1	1043	1363	1724	2127	2576	3065	3596	4162	4783	5452	6145	6847
30	18.262	72.625	165.5	294.1	459.2	660.7	898.9	1174	1486	1833	2220	2641	3100	3591	4128	4706	5309	5926
40	14.48	57.591	131.2	233.2	364.1	524	712.8	930.8	1177	1453	1758	2092	2456	2847	3271	3728	4209	4708
50	12.115	48.193	109.8	195.1	304.8	438.7	596.8	779.1	985.6	1216	1471	1751	2055	2382	2737	3118	3520	3941
60	10.491	41.734	95.04	169	264	380	517	675	854	1054	1275	1517	1780	2064	2370	2699	3048	3414
70	9.3021	37.009	84.27	149.8	234.1	337.1	458.7	598.9	757.8	935.2	1131	1347	1580	1831	2103	2394	2703	3029
80	8.3933	33.395	76.04	135.2	211.3	304.2	414	540.7	684.1	844.4	1022	1215	1426	1654	1899	2161	2440	2734
90	7.6751	30.54	69.53	123.6	193.2	278.2	378.7	494.6	625.9	772.6	934.8	1112	1305	1514	1738	1978	2233	2502
100	7.0926	28.225	64.25	114.3	178.6	257.2	350.1	457.3	578.7	714.4	864.4	1029	1207	1400	1607	1829	2065	2314
150	5.2977	21.09	48	85.38	133.5	192.3	261.8	342	433	534.7	647.2	770.3	904.2	1049	1204	1370	1547	1735
200	4.3706	17.405	39.61	70.47	110.2	158.7	216.2	282.5	357.7	441.7	534.7	636.6	747.4	867.1	995.8	1133	1280	1435
250	3.8049	15.158	34.5	61.37	95.95	138.3	188.3	246.1	311.6	385	466.1	554.9	651.6	756.1	868.4	988.5	1116	1252
300	3.425	13.647	31.06	55.26	86.4	124.5	169.6	221.7	280.7	346.8	419.9	500	587.2	681.4	782.6	891	1006	1129
400	2.9501	11.762	26.77	47.62	74.47	107.3	146.2	191.1	242	299	362.1	431.3	506.5	587.9	675.4	769	868.7	974.6
500	2.669	10.646	24.22	43.1	67.41	97.15	132.3	173	219.1	270.8	327.9	390.6	458.8	532.5	611.8	696.6	787.1	883.1
600	2.4863	9.921	22.57	40.17	62.82	90.54	123.3	161.3	204.3	252.4	305.7	364.1	427.7	496.5	570.4	649.6	734	823.6
700	2.3603	9.4215	21.44	38.15	59.66	85.99	117.1	153.1	194	239.7	290.4	345.9	406.3	471.6	541.9	617.1	697.3	782.5
800	2.2688	9.0579	20.62	36.69	57.39	82.72	112.7	147.3	186.6	230.6	279.3	332.8	390.9	453.8	521.4	593.8	671	753
900	2.1988	8.7817	20.02	35.62	55.71	80.3	109.4	143	181.2	223.9	271.2	323.1	379.5	440.6	506.3	576.6	651.5	731.1
1000	2.145	8.5675	19.56	34.8	54.43	78.45	106.9	139.7	177	218.8	265	315.7	370.8	430.5	494.7	563.4	636.6	714.4
